Name;Label;Concept Name;Concept_ID;Vocabulary_ID;OMOP Table
AMLSTAT;AML status;;;;
ASXL1;mutation indicator, NGS;ASXL1 gene exon 13 full mutation analysis;99965-6;LOINC;Measurement
ATRX;mutation indicator, NGS;ATRX gene targeted mutation analysis;53841-3;LOINC;Measurement
BCOR;mutation indicator, NGS;BCOR (BCL6 corepressor) gene variant;35946879;OMOP Genomic;Measurement
BCORL1;mutation indicator, NGS;BCOR (BCL6 corepressor) gene variant;35944932;OMOP Genomic;Measurement
BRAF;mutation indicator, NGS;BRAF gene V600 mutations [Identifier] in Tissue;97025-1;LOINC;Measurement
BRAF;mutation indicator, NGS;BRAF gene V600 mutations [Identifier] in Plasma-Cell Free DNA;93690-6;LOINC;Measurement
CALR;mutation indicator, NGS;CALR gene exon 9 targeted mutation analysis;77174-1;LOINC;Measurement
CBL;mutation indicator, NGS;CBL (Cbl proto-oncogene) gene variant;35955105;OMOP Genomic;Measurement
CBLB;mutation indicator, NGS;CBLB (Cbl proto-oncogene B) gene variant;35963472;OMOP Genomic;Measurement
CDKN2A;mutation indicator, NGS;CDKN2A+CDK4 gene mutations found [Identifier] in Blood or Tissue;57927-6;LOINC;Measurement
CEBPA;CEBPA mutation;CEBPA gene targeted mutation analysis;64012-8;LOINC;Measurement
CGCX;complex cytogenetic karyotype;GGCX (gamma-glutamyl carboxylase) gene variant measurement;35953825;OMOP Genomic;Measurement
CGNK;cytogenic normal karyotype;Karyotype evaluation normal;42536186;OMOP Genomic;Measurement
CR1;first complete remission;CD35 cells/100 cells in Blood;13346-2;LOINC;Measurement
CSF3R;mutation indicator, NGS;CSF3R gene exons 14&17 targeted mutation analysis;92674-1;LOINC;Measurement
CUX1;mutation indicator, NGS;CUX1 (cut like homeobox 1) gene variant;35954356;OMOP Genomic;Measurement
DNMT3A;mutation indicator, NGS;DNMT3A (DNA methyltransferase 3 alpha);35958399;OMOP Genomic;Measurement
EFSSTAT;status variable for EFSTM;Event;4156363;SNOMED;Observation
EFSTM;event free survival time;Month;9580;SNOMED;Observation
ETV6;mutation indicator, NGS;ETV6 gene rearrangements in Tissue by FISH;101380-4;LOINC;Measurement
EXAML;extramedullary AML;;;;
EZH2;mutation indicator, NGS;EZH2 gene targeted mutation analysis;96964-2;LOINC;Measurement
FBXW7;mutation indicator, NGS;FBXW7 gene targeted mutation analysis;100028-0;LOINC;Measurement
FLT3I;FLT3-ITD mutation status;FLT3-ITD Consensus Call;35956153;OMOP Genomic;Measurement
